blockchain,scale,N,nc_safety,nc_liveness,gini,hhi,shapley_liveness,shapley_safety,zipfs
aptos,tokens,191,27.23,11.52,0.55,0.011,0.561,0.559,3.135
aptos,srsw,191,36.65,16.75,0.41,0.008,0.412,0.415,1.568
aptos,lsw,191,57.07,28.27,0.13,0.006,0.156,0.163,0.128
axelar,lsw,75,64.0,32.0,0.04,0.013,0.058,0.045,0.062
axelar,srsw,75,50.67,22.67,0.22,0.015,0.229,0.221,0.464
axelar,tokens,75,41.33,16.0,0.37,0.02,0.375,0.373,0.928
binance,lsw,57,56.14,28.07,0.14,0.019,0.145,0.146,0.266
binance,srsw,57,35.09,17.54,0.41,0.027,0.419,0.416,1.158
binance,tokens,57,28.07,14.04,0.55,0.036,0.556,0.558,2.316
celestia,tokens,239,11.3,2.93,0.8,0.026,0.797,0.803,5.679
celestia,srsw,239,21.76,7.53,0.67,0.012,0.673,0.671,2.84
celestia,lsw,239,51.88,24.69,0.17,0.005,0.187,0.182,0.265
celo,lsw,86,63.95,32.56,0.03,0.012,0.072,0.057,0.029
celo,srsw,86,47.67,20.93,0.29,0.015,0.298,0.292,0.758
celo,tokens,86,38.37,13.95,0.42,0.019,0.426,0.425,1.517
cosmos,tokens,200,12.0,3.5,0.72,0.029,0.73,0.731,1.573
cosmos,srsw,200,36.5,10.5,0.41,0.009,0.423,0.421,0.786
cosmos,lsw,200,64.0,31.0,0.04,0.005,0.063,0.072,0.059
injective,srsw,60,53.33,21.67,0.19,0.019,0.191,0.205,0.36
injective,tokens,60,38.33,11.67,0.4,0.033,0.409,0.414,0.72
injective,lsw,60,65.0,31.67,0.03,0.017,0.042,0.031,0.052
osmosis,lsw,150,64.67,32.0,0.02,0.007,0.046,0.07,0.036
osmosis,srsw,150,45.33,18.0,0.29,0.009,0.292,0.298,0.511
osmosis,tokens,150,28.0,6.67,0.54,0.02,0.554,0.547,1.022
polygon,tokens,105,11.43,3.81,0.79,0.051,0.8,0.8,2.057
polygon,srsw,105,24.76,8.57,0.53,0.022,0.543,0.54,1.028
polygon,lsw,105,61.9,28.57,0.08,0.01,0.088,0.088,0.13
sui,srsw,108,52.78,23.15,0.18,0.01,0.187,0.195,0.315
sui,lsw,108,65.74,32.41,0.01,0.009,0.036,0.041,0.016
sui,tokens,108,39.81,15.74,0.35,0.014,0.351,0.358,0.63
